GW,chip,transfers,hits,free_transfers_available,gw_score,season_total
1,,0.0,0,1,47.0,47.0
2,,1.0,0,1,27.0,74.0
3,,2.0,1,1,61.0,135.0
4,Triple Captain,1.0,0,1,45.0,180.0
5,,2.0,1,1,59.0,239.0
6,,2.0,1,1,33.0,272.0
7,,2.0,1,1,65.0,337.0
8,Wildcard,,0,1,80.0,417.0
9,Bench Boost,2.0,1,1,60.0,477.0
10,,1.0,0,1,87.0,564.0
11,,2.0,1,1,35.0,599.0
12,,1.0,0,1,64.0,663.0
13,,1.0,0,1,27.0,690.0
14,,2.0,1,1,56.0,746.0
15,,1.0,0,1,56.0,802.0
16,,5.0,0,5,57.0,859.0
17,,1.0,0,1,81.0,940.0
18,,2.0,1,1,42.0,982.0
19,Free Hit,,0,1,35.0,1017.0
20,Wildcard,,0,1,46.0,1063.0
21,Bench Boost,1.0,0,1,61.0,1124.0
22,,2.0,1,1,28.0,1152.0
23,Triple Captain,2.0,1,1,56.0,1208.0
24,,2.0,1,1,53.0,1261.0
25,,2.0,1,1,53.0,1314.0
26,,1.0,0,1,70.0,1384.0
27,,1.0,0,1,37.0,1421.0
28,,1.0,0,1,49.0,1470.0
29,,2.0,1,1,52.0,1522.0
30,,2.0,1,1,40.0,1562.0
31,,0.0,0,1,36.0,1598.0
32,,3.0,1,2,84.0,1682.0
33,Free Hit,,0,1,88.0,1770.0
34,,0.0,0,1,54.0,1824.0
35,,2.0,0,2,30.0,1854.0
36,,1.0,0,1,82.0,1936.0
37,,1.0,0,1,63.0,1999.0
38,,1.0,0,1,50.0,2049.0
