GW,chip,transfers,hits,free_transfers_available,gw_score,season_total
1,,0.0,0,1,47.0,47.0
2,,1.0,0,1,27.0,74.0
3,,1.0,0,1,66.0,140.0
4,,1.0,0,1,58.0,198.0
5,,1.0,0,1,55.0,253.0
6,,1.0,0,1,41.0,294.0
7,Triple Captain,1.0,0,1,74.0,368.0
8,Wildcard,,0,1,78.0,446.0
9,Bench Boost,1.0,0,1,70.0,516.0
10,,1.0,0,1,101.0,617.0
11,,1.0,0,1,34.0,651.0
12,,1.0,0,1,50.0,701.0
13,,1.0,0,1,24.0,725.0
14,,1.0,0,1,57.0,782.0
15,,1.0,0,1,50.0,832.0
16,,5.0,0,5,65.0,897.0
17,,1.0,0,1,80.0,977.0
18,,1.0,0,1,38.0,1015.0
19,Free Hit,,0,1,40.0,1055.0
20,Wildcard,,0,1,47.0,1102.0
21,Bench Boost,1.0,0,1,65.0,1167.0
22,,1.0,0,1,39.0,1206.0
23,Triple Captain,1.0,0,1,78.0,1284.0
24,,1.0,0,1,58.0,1342.0
25,,1.0,0,1,34.0,1376.0
26,Free Hit,,0,1,47.0,1423.0
27,,1.0,0,1,42.0,1465.0
28,,1.0,0,1,44.0,1509.0
29,,1.0,0,1,47.0,1556.0
30,,1.0,0,1,57.0,1613.0
31,,0.0,0,1,25.0,1638.0
32,,2.0,0,2,70.0,1708.0
33,,1.0,0,1,59.0,1767.0
34,,0.0,0,1,15.0,1782.0
35,,2.0,0,2,66.0,1848.0
36,,1.0,0,1,86.0,1934.0
37,,1.0,0,1,43.0,1977.0
38,,1.0,0,1,53.0,2030.0
