GW,chip,transfers,hits,free_transfers_available,gw_score,season_total
1,,0.0,0,1,49.0,49.0
2,,1.0,0,1,41.0,90.0
3,,2.0,1,1,56.0,146.0
4,Triple Captain,2.0,1,1,30.0,176.0
5,,3.0,2,1,55.0,231.0
6,Free Hit,,0,1,47.0,278.0
7,,3.0,2,1,55.0,333.0
8,Wildcard,,0,1,68.0,401.0
9,Bench Boost,2.0,1,1,54.0,455.0
10,,1.0,0,1,87.0,542.0
11,,2.0,1,1,32.0,574.0
12,,2.0,1,1,65.0,639.0
13,,3.0,2,1,30.0,669.0
14,,1.0,0,1,49.0,718.0
15,,1.0,0,1,60.0,778.0
16,,5.0,0,5,61.0,839.0
17,,2.0,1,1,75.0,914.0
18,,2.0,1,1,47.0,961.0
19,,3.0,2,1,44.0,1005.0
20,Wildcard,,0,1,46.0,1051.0
21,Bench Boost,2.0,1,1,59.0,1110.0
22,,2.0,1,1,35.0,1145.0
23,,1.0,0,1,35.0,1180.0
24,Free Hit,,0,1,76.0,1256.0
25,,3.0,2,1,32.0,1288.0
26,,3.0,2,1,55.0,1343.0
27,,3.0,2,1,46.0,1389.0
28,Triple Captain,1.0,0,1,51.0,1440.0
29,,3.0,2,1,29.0,1469.0
30,,2.0,1,1,43.0,1512.0
31,,3.0,2,1,24.0,1536.0
32,,1.0,0,1,53.0,1589.0
33,,3.0,2,1,67.0,1656.0
34,,0.0,0,1,33.0,1689.0
35,,3.0,1,2,28.0,1717.0
36,,1.0,0,1,56.0,1773.0
37,,1.0,0,1,44.0,1817.0
38,,1.0,0,1,61.0,1878.0
