GW,chip,transfers,hits,free_transfers_available,gw_score,season_total
1,,0.0,0,1,58.0,58.0
2,,1.0,0,1,35.0,93.0
3,,1.0,0,1,62.0,155.0
4,,1.0,0,1,41.0,196.0
5,,1.0,0,1,45.0,241.0
6,,1.0,0,1,31.0,272.0
7,Triple Captain,1.0,0,1,61.0,333.0
8,Wildcard,,0,1,78.0,411.0
9,Bench Boost,1.0,0,1,68.0,479.0
10,,0.0,0,1,74.0,553.0
11,,2.0,0,2,34.0,587.0
12,,1.0,0,1,54.0,641.0
13,,1.0,0,1,39.0,680.0
14,,1.0,0,1,70.0,750.0
15,,1.0,0,1,54.0,804.0
16,,5.0,0,5,61.0,865.0
17,,0.0,0,1,93.0,958.0
18,,2.0,0,2,48.0,1006.0
19,Free Hit,,0,1,35.0,1041.0
20,Wildcard,,0,1,53.0,1094.0
21,Bench Boost,1.0,0,1,56.0,1150.0
22,,0.0,0,1,37.0,1187.0
23,Triple Captain,2.0,0,2,42.0,1229.0
24,,0.0,0,1,49.0,1278.0
25,Free Hit,,0,2,66.0,1344.0
26,,3.0,1,2,34.0,1378.0
27,,1.0,0,1,59.0,1437.0
28,,1.0,0,1,54.0,1491.0
29,,1.0,0,1,47.0,1538.0
30,,1.0,0,1,61.0,1599.0
31,,0.0,0,1,26.0,1625.0
32,,2.0,0,2,74.0,1699.0
33,,2.0,1,1,59.0,1758.0
34,,0.0,0,1,37.0,1795.0
35,,2.0,0,2,60.0,1855.0
36,,2.0,1,1,48.0,1903.0
37,,0.0,0,1,42.0,1945.0
38,,2.0,0,2,34.0,1979.0
