GW,chip,transfers,hits,free_transfers_available,gw_score,season_total
1,,0.0,0,1,38.0,38.0
2,,1.0,0,1,35.0,73.0
3,Triple Captain,2.0,1,1,54.0,127.0
4,,2.0,1,1,47.0,174.0
5,,1.0,0,1,59.0,233.0
6,,1.0,0,1,43.0,276.0
7,,2.0,1,1,54.0,330.0
8,Wildcard,,0,1,74.0,404.0
9,Bench Boost,1.0,0,1,66.0,470.0
10,,1.0,0,1,78.0,548.0
11,,0.0,0,1,33.0,581.0
12,,2.0,0,2,55.0,636.0
13,,2.0,1,1,48.0,684.0
14,,2.0,1,1,78.0,762.0
15,,1.0,0,1,61.0,823.0
16,,5.0,0,5,65.0,888.0
17,,1.0,0,1,86.0,974.0
18,,2.0,1,1,46.0,1020.0
19,Free Hit,,0,1,34.0,1054.0
20,Wildcard,,0,1,39.0,1093.0
21,Bench Boost,1.0,0,1,74.0,1167.0
22,,0.0,0,1,42.0,1209.0
23,Triple Captain,3.0,1,2,49.0,1258.0
24,,2.0,1,1,39.0,1297.0
25,,2.0,1,1,45.0,1342.0
26,,1.0,0,1,63.0,1405.0
27,,2.0,1,1,42.0,1447.0
28,,1.0,0,1,72.0,1519.0
29,,2.0,1,1,77.0,1596.0
30,,2.0,1,1,41.0,1637.0
31,,2.0,1,1,40.0,1677.0
32,,2.0,1,1,73.0,1750.0
33,Free Hit,,0,1,96.0,1846.0
34,,0.0,0,1,62.0,1908.0
35,,3.0,1,2,34.0,1942.0
36,,2.0,1,1,75.0,2017.0
37,,1.0,0,1,52.0,2069.0
38,,1.0,0,1,31.0,2100.0
